                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                0.89112,                  1.018,                 1.0385,                0.68606,                0.77778,                0.70716,                0.48014,                 1.2283,                 1.7574,                 1.2035,              0.0005546,              0.0005546,              0.0005546
                     75,                 0.7696,                0.91166,                 1.0007,                0.68606,                0.77778,                0.70716,                0.48014,                 1.2283,                 1.7574,                 1.2035,              0.0005348,              0.0005348,              0.0005348
                     76,                0.92057,                 1.0752,                 1.0869,                 0.6874,                0.77778,                0.70866,                0.50009,                 1.1372,                 1.6137,                 1.1307,               0.000515,               0.000515,               0.000515
                     77,                0.78622,                  0.862,                0.96598,                 0.6874,                0.77778,                0.70866,                0.50009,                 1.1372,                 1.6137,                 1.1307,              0.0004952,              0.0004952,              0.0004952
                     78,                0.84851,                0.93458,                 1.0379,                0.77309,                0.75903,                0.77797,                 0.5773,                 1.1726,                 1.5129,                 1.2334,              0.0004754,              0.0004754,              0.0004754
                     79,                0.82094,                0.90701,                 1.0198,                0.77309,                0.75903,                0.77797,                 0.5773,                 1.1726,                 1.5129,                 1.2334,              0.0004556,              0.0004556,              0.0004556
                     80,                0.69082,                0.84903,                0.95341,                0.77627,                0.77176,                0.80859,                0.59453,                 1.0996,                 1.4633,                 1.2178,              0.0004358,              0.0004358,              0.0004358
                     81,                0.89397,                 1.0302,                 1.0679,                0.77627,                0.77176,                0.80859,                0.59453,                 1.0996,                 1.4633,                 1.2178,               0.000416,               0.000416,               0.000416
                     82,                0.72654,                0.93719,                0.99922,                0.77469,                0.76544,                0.82487,                0.61052,                 1.1011,                 1.3798,                 1.2422,              0.0003962,              0.0003962,              0.0003962
                     83,                0.78051,                0.98273,                0.99888,                0.77469,                0.76544,                0.82487,                0.61052,                 1.1011,                 1.3798,                 1.2422,              0.0003764,              0.0003764,              0.0003764
                     84,                0.69673,                0.84805,                0.96219,                0.69828,                0.88889,                0.82539,                0.60414,                 1.0669,                 1.2876,                 1.1977,              0.0003566,              0.0003566,              0.0003566
                     85,                0.81969,                0.90946,                 1.0201,                0.69828,                0.88889,                0.82539,                0.60414,                 1.0669,                 1.2876,                 1.1977,              0.0003368,              0.0003368,              0.0003368
                     86,                 0.7496,                0.85584,                 1.0147,                0.70692,                0.88889,                0.79539,                0.58349,                 1.1071,                 1.2831,                 1.2302,               0.000317,               0.000317,               0.000317
                     87,                0.91065,                   1.04,                 1.0965,                0.70692,                0.88889,                0.79539,                0.58349,                 1.1071,                 1.2831,                 1.2302,              0.0002972,              0.0002972,              0.0002972
                     88,                0.88888,                0.97517,                 1.0897,                0.71286,                0.88889,                0.79586,                0.59176,                 1.1373,                 1.2887,                 1.2738,              0.0002774,              0.0002774,              0.0002774
                     89,                0.80127,                0.91984,                0.93053,                0.71286,                0.88889,                0.79586,                0.59176,                 1.1373,                 1.2887,                 1.2738,              0.0002576,              0.0002576,              0.0002576
                     90,                0.73991,                0.84238,                  1.018,                0.71266,                0.88889,                0.79721,                0.60401,                 1.1476,                 1.3094,                 1.2926,              0.0002378,              0.0002378,              0.0002378
                     91,                0.63859,                0.87785,                0.88894,                0.71266,                0.88889,                0.79721,                0.60401,                 1.1476,                 1.3094,                 1.2926,               0.000218,               0.000218,               0.000218
                     92,                0.63443,                0.91048,                0.90885,                0.71432,                0.88889,                0.81297,                0.61919,                 1.1442,                 1.2999,                 1.2797,              0.0001982,              0.0001982,              0.0001982
                     93,                0.65252,                0.86181,                0.93647,                0.71432,                0.88889,                0.81297,                0.61919,                 1.1442,                 1.2999,                 1.2797,              0.0001784,              0.0001784,              0.0001784
                     94,                0.70829,                 0.9412,                0.96054,                0.71493,                0.88889,                0.81348,                 0.6309,                 1.1252,                 1.2919,                  1.262,              0.0001586,              0.0001586,              0.0001586
                     95,                0.65186,                0.93465,                0.98188,                0.71493,                0.88889,                0.81348,                 0.6309,                 1.1252,                 1.2919,                  1.262,              0.0001388,              0.0001388,              0.0001388
                     96,                 0.6892,                0.90572,                0.99653,                0.71402,                0.88889,                0.82952,                0.64403,                 1.0956,                 1.3032,                 1.2423,               0.000119,               0.000119,               0.000119
                     97,                0.56177,                 0.8358,                 0.9178,                0.71402,                0.88889,                0.82952,                0.64403,                 1.0956,                 1.3032,                 1.2423,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.60295,                0.83626,                  0.978,                0.71414,                0.88889,                0.82995,                0.64407,                 1.0658,                 1.3037,                 1.2279,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.60826,                0.84114,                0.90212,                0.71414,                0.88889,                0.82995,                0.64407,                 1.0658,                 1.3037,                 1.2279,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.62815,                0.82385,                0.93341,                0.71546,                0.88889,                0.83021,                0.65238,                 1.0548,                    1.3,                 1.2252,               3.98e-05,               3.98e-05,               3.98e-05
